Date,Open,High,Low,Close,Adj Close,Volume
2022-07-21,558.200012,574.599976,558.000000,571.950012,571.950012,3414847
2022-07-22,574.750000,577.900024,567.599976,576.299988,576.299988,2036934
2022-07-25,570.000000,575.799988,564.150024,567.900024,567.900024,1440874
2022-07-26,565.599976,568.099976,556.250000,558.250000,558.250000,1549359
2022-07-27,555.900024,569.250000,555.900024,567.750000,567.750000,1151735
2022-07-28,568.500000,577.900024,568.049988,572.700012,572.700012,1914336
2022-07-29,573.200012,585.250000,571.049988,584.099976,584.099976,2161611
2022-08-01,584.099976,585.549988,576.500000,580.799988,580.799988,993023
2022-08-02,580.799988,590.500000,575.000000,578.250000,578.250000,1291098
2022-08-03,578.000000,579.349976,565.599976,569.799988,569.799988,1793491
2022-08-04,572.000000,576.000000,566.200012,573.900024,573.900024,2687696
2022-08-05,573.900024,582.549988,573.000000,579.150024,579.150024,1455945
2022-08-08,580.000000,587.500000,577.549988,586.500000,586.500000,1395495
2022-08-10,588.950012,591.450012,580.950012,584.950012,584.950012,1222405
2022-08-11,588.000000,590.000000,581.000000,582.700012,582.700012,1222897
2022-08-12,582.000000,586.549988,573.250000,581.599976,581.599976,1418557
2022-08-16,582.250000,587.900024,577.599976,579.599976,579.599976,1076292
2022-08-17,580.000000,586.000000,576.200012,584.950012,584.950012,1524111
2022-08-18,585.750000,596.049988,583.650024,594.599976,594.599976,1777307
2022-08-19,597.799988,602.000000,586.049988,587.200012,587.200012,2461951
2022-08-22,584.500000,591.900024,581.349976,584.200012,584.200012,1333644
2022-08-23,579.200012,591.950012,579.000000,588.099976,588.099976,1186601
2022-08-24,585.000000,588.500000,579.200012,587.099976,587.099976,1383496
2022-08-25,588.500000,589.549988,578.000000,579.700012,579.700012,1563845
2022-08-26,581.049988,582.549988,567.799988,572.000000,572.000000,2359504
2022-08-29,564.950012,580.799988,563.849976,573.049988,573.049988,2612374
2022-08-30,575.049988,586.000000,575.049988,583.599976,583.599976,1784269
2022-09-01,565.049988,574.549988,565.049988,569.599976,569.599976,3042496
2022-09-02,571.250000,572.500000,566.500000,570.700012,570.700012,1659835
2022-09-05,572.150024,574.049988,568.049988,570.099976,570.099976,686752
2022-09-06,571.549988,573.000000,568.400024,571.000000,571.000000,562408
2022-09-07,569.950012,574.700012,569.049988,572.349976,572.349976,485140
2022-09-08,573.849976,573.900024,567.250000,570.400024,570.400024,853719
2022-09-09,577.849976,577.849976,569.500000,574.900024,574.900024,965576
2022-09-12,574.900024,578.599976,568.549988,570.400024,570.400024,835551
2022-09-13,572.950012,573.900024,569.799988,571.000000,571.000000,827907
2022-09-14,567.400024,571.000000,565.000000,567.000000,567.000000,867842
2022-09-15,569.849976,569.849976,560.200012,563.450012,563.450012,1225198
2022-09-16,560.250000,562.849976,544.000000,546.400024,546.400024,1946975
2022-09-19,549.150024,550.799988,540.299988,548.150024,548.150024,685828
2022-09-20,550.799988,560.549988,548.450012,556.799988,556.799988,812820
2022-09-21,556.799988,568.700012,554.700012,561.500000,561.500000,1660482
2022-09-22,561.900024,580.000000,558.900024,575.650024,575.650024,2626545
2022-09-23,575.700012,576.849976,567.549988,568.549988,568.549988,1156625
2022-09-26,564.549988,566.799988,555.099976,556.200012,556.200012,1442609
2022-09-27,559.000000,565.450012,557.049988,560.500000,560.500000,1734629
2022-09-28,558.049988,568.500000,555.950012,564.049988,564.049988,1551538
2022-09-29,566.900024,578.150024,563.900024,575.750000,575.750000,2309452
2022-09-30,575.750000,575.750000,568.099976,572.950012,572.950012,1598546
2022-10-03,571.599976,577.849976,555.000000,557.150024,557.150024,1606325
2022-10-04,568.200012,568.200012,552.200012,553.799988,553.799988,2948474
2022-10-06,557.500000,557.500000,544.500000,546.400024,546.400024,2675443
2022-10-07,537.900024,544.500000,534.250000,540.150024,540.150024,3803118
2022-10-10,534.000000,537.799988,526.549988,529.099976,529.099976,3601832
2022-10-11,531.750000,531.750000,517.000000,518.950012,518.950012,6628877
2022-10-12,518.950012,538.849976,518.950012,533.599976,533.599976,3197008
2022-10-13,535.000000,538.549988,529.250000,530.000000,530.000000,2075101
2022-10-14,535.000000,535.000000,527.000000,531.349976,531.349976,1518166
2022-10-17,531.349976,534.500000,527.000000,529.950012,529.950012,757924
2022-10-18,531.549988,533.500000,528.700012,531.349976,531.349976,1247608
2022-10-19,532.549988,536.000000,525.049988,526.099976,526.099976,2677154
2022-10-20,525.000000,537.500000,522.000000,535.950012,535.950012,2273116
2022-10-21,536.000000,540.000000,532.450012,537.950012,537.950012,1238126
2022-10-24,540.349976,541.000000,534.500000,536.849976,536.849976,164839
2022-10-25,536.000000,538.000000,530.750000,532.150024,532.150024,1231137
2022-10-27,541.500000,551.299988,536.000000,549.049988,549.049988,5098267
2022-10-28,552.500000,554.250000,546.250000,551.049988,551.049988,2012341
2022-10-31,553.349976,558.500000,550.200012,554.700012,554.700012,1517302
2022-11-01,556.900024,565.000000,554.849976,563.799988,563.799988,1354247
